Kansas 18411
AustinPeay 0
Colorado 31
Connecticut 22
Maryland 205
SouthDakotaSt. 2
California 498
Hawaii 0
Arizona 108
WichitaState 12
Miami(Fla.) 1347
Buffalo 5
Iowa 62
Temple 15
Villanova 4135
UNCAsheville 0
Oregon 18841
HolyCross 2
SaintJosephs 26
Cincinnati 19
Baylor 216
Yale 6
Duke 481
UNCW 0
Texas 98
UNI 11
TexasA&M 1317
GreenBay 3
OregonState 68
VCU 11
Oklahoma 4177
CSUBakersfield 1
NorthCarolina 18476
FGCU 1
USC 31
Providence 16
Indiana 204
Chattanooga 5
Kentucky 486
StonyBrook 5
NotreDame 108
Michigan 7
WestVirginia 1255
StephFAustin 2
Wisconsin 56
Pittsburgh 14
Xavier 4112
WeberSt. 2
Virginia 18925
Hampton 3
TexasTech 36
Butler 24
Purdue 225
LittleRock 4
IowaState 514
Iona 1
SetonHall 117
Gonzaga 15
Utah 1326
FresnoState 4
Dayton 69
Syracuse 14
MichiganState 3811
MiddleTenn. 2
